 ¿é°,ÇÄ»À,KID,TEN,M1,M2,M3,F1,F2,F3,Name,Ep
1.5,0.7,0.0,0.0,1.3,2.0,0.4,0.7,1.1,0.0,G??,01&02‘í
2.3,1.0,0.0,0.0,2.1,2.7,0.6,0.3,0.0,1.4,G??,03‘í
1.7,0.8,0.0,1.9,0.7,1.5,0.0,1.8,1.7,0.4,G??,04‘í
2.3,1.2,1.3,1.5,0.0,2.0,0.9,1.7,1.9,0.7,G??,05‘í
2.7,1.1,0.5,0.0,1.0,3.5,0.4,0.7,1.2,1.3,G??,06‘í
1.7,0.8,1.3,0.9,0.0,3.1,0.3,0.0,1.7,0.1,G??,07‘í
1.9,0.9,0.0,0.0,0.8,0.4,1.0,1.6,1.6,1.3,G??,08‘í
1.8,0.8,0.3,0.0,1.1,0.9,0.5,0.0,1.8,1.0,G??,09‘í
1.3,0.8,1.4,0.5,0.4,1.3,0.4,2.4,0.8,0.2,G??,10‘í
1.2,0.5,0.0,0.0,0.7,0.7,0.3,0.8,2.4,0.0,G??,11‘í
1.8,0.8,0.0,0.0,0.3,1.4,0.2,1.6,2.6,0.7,G??,12‘í
